Date,DX-Y.NYB,EURJPY=X,GC=F,HG=F,NG=F,SI=F,USDJPY=X,ZW=F
2017-02-21,101.37000274658203,120.1729965209961,1237.5,2.745500087738037,2.563999891281128,17.989999771118164,113.27999877929688,436.0
2017-02-22,101.33000183105469,119.82499694824219,1232.0,2.7325000762939453,2.5920000076293945,17.941999435424805,113.66899871826172,441.25
2017-02-23,101.05000305175781,119.65599822998047,1250.199951171875,2.6424999237060547,2.617000102996826,18.113000869750977,113.41699981689453,438.0
2017-02-24,101.08999633789062,119.26100158691406,1256.9000244140625,2.680000066757202,2.627000093460083,18.334999084472656,112.68199920654297,431.25
2017-02-27,101.12999725341797,118.38400268554688,1257.4000244140625,2.6875,2.693000078201294,18.354000091552734,112.18800354003906,418.75
2017-02-28,101.12000274658203,119.3239974975586,1252.5999755859375,2.7039999961853027,2.7739999294281006,18.420000076293945,112.74500274658203,424.75
2017-03-01,101.77999877929688,119.4990005493164,1248.9000244140625,2.7265000343322754,2.7990000247955322,18.44300079345703,113.0770034790039,435.5
2017-03-02,102.19999694824219,120.2239990234375,1231.9000244140625,2.679500102996826,2.803999900817871,17.704999923706055,114.12100219726562,432.0
2017-03-03,101.54000091552734,120.13600158691406,1225.5,2.687000036239624,2.8269999027252197,17.69700050354004,114.34200286865234,433.75
2017-03-06,101.63999938964844,120.9010009765625,1224.5,2.6429998874664307,2.9010000228881836,17.725000381469727,113.84700012207031,438.25
2017-03-07,101.80999755859375,120.51300048828125,1215.0999755859375,2.609499931335449,2.8239998817443848,17.492000579833984,113.91699981689453,436.0
2017-03-08,102.06999969482422,120.41000366210938,1208.5,2.5920000076293945,2.9010000228881836,17.256999969482422,113.9260025024414,427.5
2017-03-09,101.8499984741211,120.64399719238281,1202.4000244140625,2.569999933242798,2.9739999771118164,16.993000030517578,114.41100311279297,426.0
2017-03-10,101.25,121.7959976196289,1200.699951171875,2.5864999294281006,3.007999897003174,16.882999420166016,115.14900207519531,422.75
2017-03-13,101.37999725341797,122.66400146484375,1202.4000244140625,2.616499900817871,3.0429999828338623,16.934999465942383,114.73200225830078,412.25
2017-03-14,101.69999694824219,122.38700103759766,1201.9000244140625,2.624000072479248,2.937999963760376,16.88800048828125,114.91500091552734,412.0
2017-03-15,100.73999786376953,121.66999816894531,1200.0999755859375,2.6454999446868896,2.9809999465942383,16.88800048828125,114.65899658203125,436.0
2017-03-16,100.2699966430664,121.76499938964844,1226.5,2.6654999256134033,2.9019999504089355,17.29599952697754,113.4020004272461,436.0
2017-03-17,100.30000305175781,122.09600067138672,1229.800048828125,2.679500102996826,2.947999954223633,17.378999710083008,113.33999633789062,436.25
2017-03-20,100.41000366210938,121.03500366210938,1233.5999755859375,2.6554999351501465,3.0409998893737793,17.402999877929688,112.67400360107422,430.25
2017-03-21,99.80999755859375,120.85099792480469,1246.0999755859375,2.609999895095825,3.0929999351501465,17.549999237060547,112.572998046875,426.5
2017-03-22,99.68000030517578,120.58799743652344,1249.300048828125,2.621999979019165,3.010999917984009,17.545000076293945,111.53199768066406,422.25
2017-03-23,99.76000213623047,120.1780014038086,1246.9000244140625,2.6364998817443848,3.0510001182556152,17.562999725341797,111.36900329589844,421.0
2017-03-24,99.62999725341797,119.6989974975586,1248.199951171875,2.623500108718872,3.0759999752044678,17.719999313354492,111.00399780273438,424.75
